token_id,token,df
560,coletar,20
206,comunicacao,20
606,crescimento,20
513,desejar,20
172,especialmente,20
359,estrutura,20
495,extrair,20
1066,feedback,20
174,geracao,20
805,investigar,20
929,manutencao,20
398,natural,20
399,popular,20
252,proporcionar,20
404,registro,20
457,adequado,19
585,aprendizagem,19
874,armazenamento,19
393,decisao,19
706,dia,19
664,estudar,19
215,etapa,19
276,falha,19
734,financeiro,19
218,habilidade,19
363,identificacao,19
841,internet,19
965,ocorrer,19
690,periodo,19
567,processamento,19
31,produzir,19
812,programacao,19
648,relevancia,19
870,respeito,19
438,responsavel,19
282,resultado_mostrar,19
504,seguir,19
693,situacao,19
792,trabalho_apresentar,19
262,usabilidade,19
698,acessivel,18
50,aprendizado,18
413,atingir,18
53,automatizar,18
978,demanda,18
970,escolha,18
496,facilidade,18
497,formato,18
80,imagem,18
776,infraestrutura,18
737,instituicao,18
379,integracao,18
177,literatura,18
596,modo,18
523,monitoramento,18
23,negocio,18
222,processo_desenvolvimento,18
780,qualitativo,18
366,receber,18
945,servidor,18
769,visualizacao,18
46,alcancar,17
1054,aprendizagem_maquina,17
350,classificacao,17
678,conhecer,17
1103,desenvolver_aplicacao,17
876,dificultar,17
316,educacao,17
1110,espaco,17
323,fisico,17
472,implantacao,17
244,interacao,17
84,intuitivo,17
246,lidar,17
524,necessitar,17
476,nuvem,17
402,processamento_linguagem,17
1123,proposito,17
1029,quantitativo,17
616,recomendacao,17
553,reconhecimento,17
35,satisfacao,17
426,similar,17
849,sugerir,17
555,suporte,17
694,tecnologico,17
408,termos,17
750,utilizar_tecnica,17
695,validar,17
44,acuracia,16
45,adocao,16
984,alternativa,16
441,amplamente,16
51,aprendizado_maquina,16
535,auxilio,16
55,causar,16
461,configuracao,16
721,crucial,16
239,design,16
378,dispositivo,16
169,distribuir,16
275,explorar,16
807,laboratorio,16
887,linguagem,16
859,privacidade,16
95,rede_neural,16
925,risco,16
106,tratamento,16
117,analises,15
299,campina_ufcg,15
119,causa,15
349,ciencia_computacao,15
620,definir,15
419,dificil,15
893,dinamico,15
466,disponibilidade,15
357,empregar,15
76,evitar,15
361,ferramento,15
980,interativo,15
180,modelo_linguagem,15
140,negativo,15
759,operacao,15
629,papel,15
828,pessoal,15
631,possibilidade,15
527,producao,15
835,programa,15
367,recente,15
871,sentido,15
286,topico,15
107,tratar,15
479,variedade,15
584,vista,15
200,agil,14
443,associar,14
481,biblioteca,14
882,chamar,14
430,cidade,14
59,computacional,14
124,conduzir,14
268,confiabilidade,14
704,consistir,14
891,construir,14
928,correcao,14
170,escala,14
979,esperar,14
659,estudo_caso,14
491,evento,14
623,exigir,14
544,experimento,14
494,extracao,14
132,google,14
17,horario,14
473,industria,14
723,inteligente,14
580,jogo,14
85,limitacao,14
1215,nan,14
281,otimizacao,14
966,pandemia,14
967,passar,14
187,preocupacao,14
729,projetar,14
188,questionario,14
190,reducao,14
406,requerer,14
530,seguro,14
427,taxa,14
151,tendencia,14
409,tradicional,14
109,treinar,14
154,util,14
1124,acabar,13
428,android,13
977,coleta,13
60,condicao,13
831,consequencia,13
392,consumo,13
875,data,13
269,demandar,13
310,descrever,13
1040,desenvolvedore,13
167,diminuir,13
773,entrevista,13
467,escalabilidade,13
274,escolher,13
74,esforco,13
941,estabelecer,13
665,evidenciar,13
775,fato,13
866,formacao,13
689,organizar,13
846,problematica,13
617,rede_social,13
425,revelar,13
650,selecao,13
661,selecionar,13
191,setor,13
105,transparencia,13
111,validacao,13
290,acessibilidade,12
975,acompanhar,12
763,adicionar,12
229,afetar,12
890,atencao,12
701,atualizar,12
444,automaticamente,12
346,banco_dado,12
376,codigo_abrir,12
1090,constante,12
7,contato,12
353,contribuicao,12
164,crescer,12
464,criterio,12
1093,deixar,12
909,detectar,12
271,discutir,12
210,elemento,12
708,enfrentar,12
885,ficar,12
904,fluxo,12
911,funcao,12
840,funcionamento,12
1042,grau,12
546,hardware,12
626,influencia,12
777,levantamento,12
381,limitar,12
329,material,12
997,media,12
21,medio,12
1115,milhao,12
383,motivo,12
1074,opcao,12
1009,paciente,12
779,participante,12
526,personalizar,12
791,politica,12
740,react,12
1149,sugestao,12
917,testar,12
532,variar,12
662,varias,12
264,virtual,12
41,visualizar,12
815,volume,12
958,adaptar,11
1118,armazenar,11
158,automacao,11
1021,certo,11
56,classificar,11
918,complementar,11
830,compor,11
927,computacao_ufcg,11
796,computacao_universidade,11
508,confiavel,11
352,consulta,11
1061,correlacao,11
208,demanr,11
705,depender,11
354,direcionar,11
168,discussao,11
489,documentacao,11
213,especificamente,11
638,estruturar,11
320,experiencia_usuario,11
216,fase,11
803,federal_campina,11
563,focar,11
624,fonte,11
916,formulario,11
592,genero,11
1073,geralmente,11
964,graduacao,11
788,impactar,11
1210,indicador,11
548,individuo,11
579,influenciar,11
1128,inicial,11
1037,investigacao,11
806,jar,11
998,melhor,11
423,parametro,11
525,perfil,11
435,porte,11
991,posteriormente,11
645,preco,11
1044,procurar,11
691,protecao,11
370,resolucao,11
385,responder,11
847,responsabilidade,11
283,revisao,11
618,significativamente,11
946,trabalhar,11
654,vantagem,11
112,visao,11
697,abranger,10
1036,abrir,10
907,acompanhamento,10
699,adicional,10
673,amostra,10
873,api,10
602,avalia,10
347,basico,10
460,carga_trabalho,10
961,coleta_dado,10
391,comparativo,10
234,compartilhar,10
207,consequentemente,10
1049,contar,10
680,correto,10
637,descricao,10
311,desempenhar_papel,10
862,discente,10
542,eletronico,10
910,entrada,10
1024,entrega,10
322,finalidade,10
735,framework,10
242,hora,10
326,inclusao,10
18,indice,10
971,leitura,10
176,linguagem_programacao,10
612,localizacao,10
520,manipulacao,10
725,mecanismo,10
668,mitigar,10
930,moderno,10
1147,muitas,10
808,nota,10
550,objeto,10
727,onliner,10
869,pais,10
1185,pensar,10
89,perda,10
143,performance,10
906,pergunta,10
632,preciso,10
834,presenca,10
983,processar,10
403,referente,10
336,regra,10
1047,relatorio,10
531,serie,10
455,simular,10
456,sistematico,10
932,solucionar,10
1018,superar,10
1157,trabalho_conclusao,10
261,unico,10
969,visualizacao_dado,10
292,acesso_informacao,9
793,adaptacao,9
342,adquirir,9
293,agente,9
743,alocacao,9
794,amplo,9
795,anterior,9
1181,aprimoramento,9
1173,artigo_apresentar,9
1097,ativo,9
1098,atributo,9
536,avaliar_desempenho,9
771,avancar,9
298,backend,9
348,categoria,9
301,centralizar,9
822,claro,9
1002,comentario,9
1052,computador,9
511,continuo,9
1119,dado_coletar,9
683,desafio_enfrentar,9
607,destaque,9
1121,durante_pandemia,9
1004,elevar,9
1161,engajamento,9
1114,equipe_desenvolvimento,9
711,frequencia,9
1089,funcionar,9
1208,funcionario,9
1033,github,9
951,grafico,9
564,historico,9
988,hoje,9
989,ideia,9
879,iniciativa,9
627,inteligencia_artificial,9
519,interagir,9
642,item,9
611,levantar,9
817,llms,9
667,mapeamento,9
138,minimizar,9
895,movel,9
498,navegador,9
972,oficial,9
688,online,9
1065,participar,9
811,passo,9
633,profundo,9
568,prova,9
749,recorrente,9
968,registrar,9
1046,relatar,9
1035,repositorio,9
369,requisicao,9
101,resultado_indicar,9
256,servir,9
768,simplificar,9
719,universidade,9
583,variavel,9
114,visual,9
1141,adequar,8
1008,administracao,8
1138,agregar,8
751,alteracao,8
458,analise_comparativo,8
770,aprender,8
232,apresentar_solucao,8
1151,assunto,8
201,atraso,8
507,autenticacao,8
1039,bugs,8
459,carga,8
900,chatgpt,8
1010,chegar,8
908,cidadao,8
415,classificador,8
302,completo,8
1070,compra,8
537,comumente,8
485,concluir,8
305,conforme,8
677,conformidade,8
1172,consolidar,8
6,consumidor,8
510,conter,8
63,convolucional,8
657,costumar,8
539,cotidiano,8
64,critico,8
746,cultural,8
861,dedicar,8
1023,distribuicao,8
1091,economia,8
786,efeito,8
825,ensino_superior,8
787,entendimento,8
514,entidade,8
171,escassez,8
826,especial,8
1085,especializar,8
576,estatistico,8
515,explora,8
14,fornecer_informacao,8
578,gama,8
1027,ideal,8
517,identidade,8
856,impulsionar,8
327,integrar,8
83,interpretacao,8
886,introduzir,8
1013,jogador,8
328,lei,8
178,llm,8
595,manualmente,8
421,medico,8
867,medir,8
522,microsservico,8
1125,modificacao,8
1067,obstaculo,8
183,opiniao,8
913,orgao,8
827,orientar,8
843,pagina,8
630,pesquisador,8
936,planejamento,8
1043,planilha,8
845,portugues,8
1014,predicao,8
1015,preditivo,8
250,presencial,8
566,principio,8
992,programador,8
1164,projeto_software,8
670,questionamento,8
97,regiao,8
1168,remoto,8
99,representacao,8
819,resolucao_problema,8
1017,satisfatorio,8
651,semantico,8
599,sentimento,8
227,suficiente,8
1019,supervisionar,8
195,surgimento,8
478,tamanho,8
1031,textual,8
872,tomar,8
337,trabalho_consistir,8
373,transformacao,8
933,unidade,8
634,valioso,8
1053,venda,8
1107,viavel,8
375,visibilidade,8
1137,voz,8
663,vulnerabilidade,8
851,abrangente,7
1211,alterar,7
947,ambito,7
1153,animal,7
1178,aquisicao,7
836,arte,7
587,atuacao,7
1142,autor,7
1112,bug,7
732,cadastrar,7
1113,cerca,7
483,cientifico,7
960,citar,7
205,colaboracao,7
561,comprovar,7
823,conclusao,7
733,conectar,7
816,consideravel,7
755,consideravelmente,7
462,conteiner,7
125,corretamente,7
832,curso_graduacao,7
1158,dashboard,7
682,dependencia,7
722,descobrir,7
1108,detalhar,7
1146,dia_dia,7
1011,diferenca,7
684,dinheiro,7
377,diretamente,7
69,direto,7
1120,distancia,7
1126,documentar,7
541,domestico,7
864,durante_periodo,7
317,efetivo,7
240,emocional,7
963,emprego,7
865,enfrentar_desafio,7
273,engenharia_software,7
490,enviar,7
319,estruturacao,7
173,estudo_investigar,7
996,exame,7
919,expansao,7
920,exploratorio,7
493,extensao,7
590,extrair_informacao,7
420,facilmente,7
639,federal,7
468,ferramentar,7
942,formar,7
277,forte,7
324,frontend,7
956,funcional,7
545,ganhar,7
712,gasto,7
641,governo,7
1198,gratuito,7
1191,habito,7
1096,incentivar,7
1005,individual,7
136,inicialmente,7
857,inovacao,7
713,inserir,7
724,intencao,7
1139,investir,7
565,juntamente,7
474,kubernete,7
594,lacuna,7
990,linha,7
767,mapa,7
778,mediante,7
475,memoria,7
382,mensagem,7
1050,metodologia_agil,7
1131,monitorar,7
434,municipio,7
597,musica,7
549,normalmente,7
1122,objetivo_analisar,7
1034,oportunidade,7
981,participacao,7
1148,perceber,7
1057,perfis,7
953,perspectiva,7
1080,plano,7
844,plugin,7
335,prejudicar,7
1140,pretender,7
582,prever,7
1016,procedimento,7
453,promissor,7
880,pronto,7
950,propriedade,7
1045,qualidade_software,7
147,queda,7
1202,ramo,7
741,realidade,7
760,recurso_computacional,7
405,regressao,7
407,resolver_problema,7
601,surgir_necessidade,7
1081,total,7
338,transparente,7
1020,universitario,7
994,utilidade,7
696,verificacao,7
783,video,7
897,acarretar,6
557,acre,6
1130,acreditar,6
762,adicao,6
1159,administrador,6
1197,agilidade,6
294,alta,6
655,alvo,6
976,amigavel,6
1169,anteriormente,6
1038,apis,6
156,aprofundado,6
752,aproximadamente,6
559,ascensao,6
934,atendar,6
297,atendimento,6
534,atualidade,6
914,atuar,6
1055,audio,6
959,aula,6
344,ausencia,6
955,avaliar_eficacia,6
772,aws,6
1079,bibliografico,6
1099,blockchain,6
1152,cadastro,6
860,calculo,6
1083,camada,6
300,canal,6
703,central,6
754,chave,6
915,cidade_campina,6
854,civil,6
1069,cloud,6
1032,coder,6
1132,colaborador,6
1001,colaborativo,6
1084,combinar,6
1078,comercio_eletronico,6
785,compartilhamento,6
303,comprometer,6
939,computacao_nuvem,6
676,concentrar,6
304,concepcao,6
509,configurar,6
679,consideracao,6
1167,continuar,6
62,contribuir_avanco,6
512,controlar,6
962,controle_academico,6
901,corrigir,6
1154,cuidado,6
797,curricular,6
418,dataset,6
1102,denominar,6
800,desafiador,6
66,desafio_significativo,6
1100,descentralizar,6
1062,descritivo,6
1127,desenvolvir,6
1180,despesa,6
707,diariamente,6
1133,didatico,6
1177,dificuldade_encontrar,6
314,disponibilizacao,6
838,disposto,6
128,distinto,6
70,doenca,6
902,dominio,6
1199,duvida,6
574,economico,6
853,enfatizar,6
948,enorme,6
358,entregar,6
575,esportivo,6
1012,estatistica,6
839,existencia,6
321,exposto,6
1026,externo,6
666,face,6
1041,falso,6
625,fornecer_insights,6
922,frequente,6
609,frequentemente,6
1092,ganho,6
610,geografico,6
362,hospedagem,6
1105,hospedar,6
1063,impacto_positivo,6
1204,implantar,6
175,implicacao,6
518,inadequar,6
952,informar,6
912,ingles,6
894,insights,6
685,integridade,6
757,inumero,6
245,isolamento_social,6
1194,lancar,6
686,language,6
905,latencia,6
380,ler,6
660,lista,6
818,logico,6
758,maquina,6
1104,matricula,6
858,melhora,6
935,membro,6
247,mental,6
1155,mobile,6
1064,mudar,6
833,mulher,6
949,mundo_real,6
598,musical,6
999,nacional,6
1162,natureza,6
1175,notar,6
182,oferta,6
924,open_source,6
888,operacional,6
728,original,6
186,percepcao,6
957,permanecer,6
332,plataforma_web,6
982,politico,6
552,popularidade,6
1000,popularizacao,6
613,preferencia,6
1201,privado,6
1165,produtividade,6
1087,proteger,6
1076,provedor,6
436,prover,6
501,publicacao,6
502,publicar,6
1135,python,6
93,quase,6
781,realizamos,6
368,recomendar,6
671,reconhecer,6
1030,recuperacao,6
225,scrum,6
149,seguida,6
570,semelhante,6
255,senso,6
782,service,6
194,subjetivo,6
198,tender,6
820,tentativa,6
954,tomada_decisao,6
152,tomar_decisao,6
761,trivial,6
1111,troca,6
814,turma,6
1058,tweet,6
1059,twitter,6
1156,voluntario,6
1190,aceitacao,5
1082,acima,5
1183,acontecer,5
1094,aderir,5
115,afastar,5
0,agendamento,5
1182,agilizar,5
1200,agrupamento,5
1214,aliar,5
720,altamente,5
898,alto_custo,5
938,ampla,5
985,apropriar,5
1051,aproveitar,5
753,aproximar,5
1216,artefato,5
1136,artificial,5
744,artista,5
389,arvore,5
586,associado,5
572,ataque,5
1209,atribuir,5
266,automacao_processo,5
899,cache,5
675,casa,5
204,ciclo,5
1206,cobertura,5
1179,comando,5
573,comercial,5
635,comparamos,5
1184,competicao,5
940,confianca,5
538,confirmar,5
5,constatar,5
1186,constituir,5
883,convencional,5
1060,coordenacao,5
463,cpu,5
1192,crianca,5
1160,crise,5
1196,cursar,5
636,curto,5
1025,customizacao,5
681,custoso,5
1071,decidir,5
837,deficiencia_visual,5
1077,definicao,5
892,descrito,5
1145,desvantagem,5
1022,determinado,5
1003,diminuicao,5
1176,diretriz,5
1095,divulgacao,5
863,docente,5
824,educacional,5
11,efetuar,5
395,energetico,5
241,entretenimento,5
621,equilibrar,5
903,equivalente,5
878,escalavel,5
884,escalonamento,5
774,escasso,5
709,escola,5
1109,escopo,5
986,escrever,5
1188,esporte,5
1072,estimativa,5
318,estimular,5
1203,evoluir,5
756,exato,5
987,expandir,5
449,exploracao,5
450,expor,5
1193,exposicao,5
469,flexibilidade,5
1088,fornecir,5
921,frameworks,5
516,fundamentar,5
1134,gamificacao,5
15,gerencia,5
217,gestor,5
593,guiar,5
736,imprescindivel,5
1028,influencir,5
804,ingressar,5
1195,instalacao,5
923,intensivo,5
628,interessar,5
790,jovem,5
1212,junto,5
842,leitor,5
1189,livre,5
396,machine_learning,5
365,matematico,5
868,metrico,5
280,mistral,5
747,modelagem,5
1205,modelar,5
1116,motivacao,5
1006,multiplo,5
1207,mundial,5
716,negativamente,5
738,notificacao,5
974,obra,5
809,observacao,5
422,obtivemo,5
1007,oferecir,5
1075,pagar,5
644,palavra,5
810,paradigma,5
185,parecer,5
1056,particular,5
499,pdf,5
330,pessoa_deficiencia,5
1217,placa,5
1086,pln,5
1106,positivamente,5
614,preferir,5
500,preparar,5
973,preservar,5
943,previamente,5
28,previo,5
1129,profissional_saude,5
1174,promocao,5
881,proveniente,5
477,publica,5
739,querer,5
528,rapidamente,5
148,rastreamento,5
1150,razao,5
742,receita,5
692,regulamentacao,5
944,relacionado,5
1143,relacionamento,5
1144,relato,5
1048,relatorio_bugs,5
98,repetitivo,5
1170,resolver,5
993,respectivamente,5
730,retornar,5
1117,retrabalho,5
284,revisao_codigo,5
554,rotina,5
889,runtime,5
896,sala_aula,5
1166,satisfeito,5
718,secretaria,5
285,seguinte,5
931,semestre,5
1163,sentir,5
848,sequencia,5
652,similaridade,5
1068,simulacao,5
600,sinal,5
386,smartphone,5
731,submeter,5
1213,suprir,5
850,tela,5
197,tematico,5
1187,temporal,5
439,transporte,5
1171,uasc,5
995,variacao,5
1101,vasto,5
926,viabilidade,5
672,vies,5
937,vital,5
411,xgboost,5
