trial_id,n_topics,out_rate,c_npmi,c_uci,umap_used,umap_n_neighbors,umap_n_components,umap_min_dist,hdb_min_cluster_size,hdb_min_samples,hdb_method,vec_ngr,vec_min_df,vec_max_df
trial_23,11,0.32860520094562645,-0.1789208497740309,-6.357551780719189,True,30.0,10.0,0.0,10,5.0,leaf,"(1, 2)",1,0.95
trial_24,11,0.14420803782505912,-0.16628372587895415,-5.643449768171269,True,30.0,10.0,0.0,15,1.0,leaf,"(1, 3)",3,0.99
trial_25,5,0.6264775413711584,-0.24194597963358305,-8.663273347368726,True,30.0,10.0,0.0,15,,leaf,"(1, 3)",3,0.99
trial_26,18,0.3640661938534279,-0.1810713647662368,-6.919136324613093,True,30.0,15.0,0.0,5,5.0,leaf,"(1, 2)",2,0.95
trial_27,15,0.3806146572104019,-0.22344341741727905,-7.794540905279772,True,30.0,15.0,0.0,8,5.0,leaf,"(1, 1)",1,0.95
trial_28,15,0.3806146572104019,-0.22344341741727905,-7.794540905279772,True,30.0,15.0,0.0,8,5.0,leaf,"(1, 1)",3,0.99
trial_29,2,0.0,-0.13173657708417563,-4.125353226738799,True,30.0,15.0,0.0,10,,eom,"(1, 3)",1,0.99
trial_30,8,0.49645390070921985,-0.14846518644274728,-5.5325228446054675,True,30.0,15.0,0.0,10,,leaf,"(1, 2)",3,0.99
trial_31,9,0.25059101654846333,-0.1388832865677458,-4.731534641699755,True,30.0,15.0,0.0,15,1.0,leaf,"(1, 2)",1,0.99
trial_32,43,0.18203309692671396,-0.21620281163832383,-7.94440383407751,False,,,,5,1.0,leaf,"(1, 3)",2,0.95
trial_33,2,0.0,-0.13173657708417563,-4.125353226738798,False,,,,5,,eom,"(1, 1)",3,0.99
trial_34,26,0.3900709219858156,-0.1705782840857547,-6.7434410625296,False,,,,5,,leaf,"(1, 3)",1,0.99
trial_35,24,0.3215130023640662,-0.21287923132012884,-7.935399919753656,False,,,,5,,leaf,"(1, 3)",2,0.95
trial_36,18,0.2695035460992908,-0.24812803595957147,-8.387219281493927,False,,,,8,5.0,leaf,"(1, 1)",3,0.95
trial_37,2,0.0,-0.13173657708417563,-4.125353226738799,False,,,,10,,eom,"(1, 2)",3,0.99
trial_38,2,0.0,-0.13173657708417563,-4.125353226738799,False,,,,10,,eom,"(1, 3)",1,0.99
trial_39,11,0.24113475177304963,-0.14928191367747762,-5.2936336965351805,False,,,,15,1.0,leaf,"(1, 3)",2,0.99
